Goal-oriented requirements engineering: A guided tour,"Van Lamsweerde, A."
Handling obstacles in goal-oriented requirements engineering,"Letier, E."
Handling obstacles in goal-oriented requirements engineering,"Van Lamsweerde, A."
Guiding goal modeling using scenarios,"Rolland, C."
Guiding goal modeling using scenarios,"Souveyet, C."
Guiding goal modeling using scenarios,"Achour, C. B."
From object-oriented to goal-oriented requirements analysis,"Chung, L."
From object-oriented to goal-oriented requirements analysis,"Mylopoulos, J."
From object-oriented to goal-oriented requirements analysis,"Yu, E.S.K."
Elaborating security requirements by construction of intentional anti-models,"Van Lamsweerde, A."
Security and privacy requirements analysis within a social setting,"Liu, L."
Security and privacy requirements analysis within a social setting,"Mylopoulos, J."
Security and privacy requirements analysis within a social setting,"Yu, E.S.K."
Inferring declarative requirements specifications from operational scenarios,"Van Lamsweerde, A."
Designing data marts for data warehouses,"Bonifati, A."
Designing data marts for data warehouses,"Cattaneo, F."
Designing data marts for data warehouses,"Ceri, S."
Designing data marts for data warehouses,"Fuggetta, A."
Designing data marts for data warehouses,"Paraboschi, S."
Reasoning about partial goal satisfaction for requirements and design engineering,"Letier, E."
Reasoning about partial goal satisfaction for requirements and design engineering,"Van Lamsweerde, A."
Goal-oriented requirements analysis and reasoning in the Tropos methodology,"Giorgini, P."
Goal-oriented requirements analysis and reasoning in the Tropos methodology,"Mylopoulos, J."
Goal-oriented requirements analysis and reasoning in the Tropos methodology,"Sebastiani, R."
On non-functional requirements in software engineering,"Chung, L."
On non-functional requirements in software engineering,"Leite, J.C.S.D.P."
Introduction to the user requirements notation: Learning by example,"Amyot, D."
Exploring alternatives during requirements analysis,"Chung, L."
Exploring alternatives during requirements analysis,"Liao, S."
Exploring alternatives during requirements analysis,"Mylopoulos, J."
Exploring alternatives during requirements analysis,"Wang, H."
Exploring alternatives during requirements analysis,"Yu, E.S.K."
An integrated approach to engineer and enforce context constraints in RBAC environments,"Neumann, G."
An integrated approach to engineer and enforce context constraints in RBAC environments,"Strembeck, M."
Requirements elicitation and validation with real world scenes,"Haumer, P."
Requirements elicitation and validation with real world scenes,"Pohl, K."
Requirements elicitation and validation with real world scenes,"Weidenhaupt, K."
Designing information systems in social context: A goal and scenario modelling approach,"Liu, L."
Designing information systems in social context: A goal and scenario modelling approach,"Yu, E.S.K."
GRAnD: A goal-oriented approach to requirement analysis in data warehouses,"Garzetti, M."
GRAnD: A goal-oriented approach to requirement analysis in data warehouses,"Giorgini, P."
GRAnD: A goal-oriented approach to requirement analysis in data warehouses,"Rizzi, S."
"B-SCP: A requirements analysis framework for validating strategic alignment of organizational IT based on strategy, context, and process","Bleistein, S.J."
"B-SCP: A requirements analysis framework for validating strategic alignment of organizational IT based on strategy, context, and process","Cox, K."
"B-SCP: A requirements analysis framework for validating strategic alignment of organizational IT based on strategy, context, and process","Phalp, K.T."
"B-SCP: A requirements analysis framework for validating strategic alignment of organizational IT based on strategy, context, and process","Verner, J."
A goal-based framework for contextual requirements modeling and analysis,"Ali, R."
A goal-based framework for contextual requirements modeling and analysis,"Dalpiaz, F."
A goal-based framework for contextual requirements modeling and analysis,"Giorgini, P."
Deriving operational software specifications from system goals,"Letier, E."
Deriving operational software specifications from system goals,"Van Lamsweerde, A."
Validating strategic alignment of organizational IT requirements using goal modeling and problem diagrams,"Bleistein, S.J."
Validating strategic alignment of organizational IT requirements using goal modeling and problem diagrams,"Cox, K."
Validating strategic alignment of organizational IT requirements using goal modeling and problem diagrams,"Verner, J."
Evaluating goal models within the goal-oriented requirement language,"Amyot, D."
Evaluating goal models within the goal-oriented requirement language,"Ghanavati, S."
Evaluating goal models within the goal-oriented requirement language,"Horkoff, J."
Evaluating goal models within the goal-oriented requirement language,"Mussbacher, G."
Evaluating goal models within the goal-oriented requirement language,"Peyton, L."
Evaluating goal models within the goal-oriented requirement language,"Yu, E.S.K."
From system goals to software architecture,"Van Lamsweerde, A."
Goal-oriented requirements engine ring: A roundtrip from research to practice,"Van Lamsweerde, A."
AGORA: Attributed goal-oriented requirements analysis method,"Horai, H."
AGORA: Attributed goal-oriented requirements analysis method,"Kaiya, H."
AGORA: Attributed goal-oriented requirements analysis method,"Saeki, M."
Fuzzy goals for requirements-driven adaptation,"Baresi, L."
Fuzzy goals for requirements-driven adaptation,"Pasquale, L."
Fuzzy goals for requirements-driven adaptation,"Spoletini, P."
From goals to aspects: Discovering aspects from requirements goal models,"Leite, J.C.S.D.P."
From goals to aspects: Discovering aspects from requirements goal models,"Mylopoulos, J."
From goals to aspects: Discovering aspects from requirements goal models,"Yu, Y."
High variability design for software agents: Extending tropos,"Mylopoulos, J."
High variability design for software agents: Extending tropos,"Penserini, L."
High variability design for software agents: Extending tropos,"Perini, A."
High variability design for software agents: Extending tropos,"Susi, A."
Addressing legal requirements in requirements engineering,"Otto, P.N."
Addressing legal requirements in requirements engineering,"Ant•À_n, A.I."
An approach to engineer and enforce context constraints in an RBAC environment,"Neumann, G."
An approach to engineer and enforce context constraints in an RBAC environment,"Strembeck, M."
"User requirements notation: The first ten years, the next ten years","Amyot, D."
"User requirements notation: The first ten years, the next ten years","Mussbacher, G."
Extending enterprise architecture modelling with business goals and requirements,"Engelsman, W."
Extending enterprise architecture modelling with business goals and requirements,"Jonkersa, H."
Extending enterprise architecture modelling with business goals and requirements,"Quartelc, D."
Extending enterprise architecture modelling with business goals and requirements,"Van Sinderen, M.J."
"A vulnerability-centric requirements engineering framework: Analyzing security attacks, countermeasures, and requirements based on vulnerabilities","Elahi, G."
"A vulnerability-centric requirements engineering framework: Analyzing security attacks, countermeasures, and requirements based on vulnerabilities","Yu, E.S.K."
"A vulnerability-centric requirements engineering framework: Analyzing security attacks, countermeasures, and requirements based on vulnerabilities","Zannone, N."
Visual syntax does matter: Improving the cognitive effectiveness of the i* visual notation,"Heymans, P."
Visual syntax does matter: Improving the cognitive effectiveness of the i* visual notation,"Moody, D.L."
Visual syntax does matter: Improving the cognitive effectiveness of the i* visual notation,"Matulevi?ius, R."
A goal-oriented requirements modelling language for enterprise architecture,"Engelsman, W."
A goal-oriented requirements modelling language for enterprise architecture,"Jonkers, H."
A goal-oriented requirements modelling language for enterprise architecture,"Quartel, D."
A goal-oriented requirements modelling language for enterprise architecture,"Van Sinderen, M.J."
Requirements-driven design and configuration management of business processes,"Lapouchnian, A."
Requirements-driven design and configuration management of business processes,"Mylopoulos, J."
Requirements-driven design and configuration management of business processes,"Yu, Y."
Deriving event-based transition systems from goal-oriented requirements models,"Kramer, J."
Deriving event-based transition systems from goal-oriented requirements models,"Letier, E."
Deriving event-based transition systems from goal-oriented requirements models,"Magee, J."
Deriving event-based transition systems from goal-oriented requirements models,"Uchitel, S."
"Scenarios, goals, and state machines: A win-win partnership for model synthesis","Damas, C."
"Scenarios, goals, and state machines: A win-win partnership for model synthesis","Lambeau, B."
"Scenarios, goals, and state machines: A win-win partnership for model synthesis","Van Lamsweerde, A."
Monitoring and diagnosing software requirements,"McIlraith, S.A."
Monitoring and diagnosing software requirements,"Mylopoulos, J."
Monitoring and diagnosing software requirements,"Wang, Y."
Monitoring and diagnosing software requirements,"Yu, Y."
Agent-based tactics for goal-oriented requirements elaboration,"Letier, E."
Agent-based tactics for goal-oriented requirements elaboration,"Van Lamsweerde, A."
The role of task analysis in capturing requirements for interface design,"Ormerod, T.C."
The role of task analysis in capturing requirements for interface design,"Richardson, J."
The role of task analysis in capturing requirements for interface design,"Shepherd, A."
A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty,"Bencomo, N."
A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty,"Cheng, B.H.C."
A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty,"Sawyer, P."
A goal-based modeling approach to develop requirements of an adaptive system with environmental uncertainty,"Whittle, J."
Goal-based modeling of Dynamically Adaptive System requirements,"Bencomo, N."
Goal-based modeling of Dynamically Adaptive System requirements,"Cheng, B.H.C."
Goal-based modeling of Dynamically Adaptive System requirements,"Goldsby, H.J."
Goal-based modeling of Dynamically Adaptive System requirements,"Hughes, D."
Goal-based modeling of Dynamically Adaptive System requirements,"Sawyer, P."
Learning operational requirements from goal models,"Alrajeh, D."
Learning operational requirements from goal models,"Kramer, J."
Learning operational requirements from goal models,"Russo, A."
Learning operational requirements from goal models,"Uchitel, S."
PRiM: An i*-based process reengineering method for information systems specification,"Franch, X."
PRiM: An i*-based process reengineering method for information systems specification,"Grau, G."
PRiM: An i*-based process reengineering method for information systems specification,"Maiden, N.A.M."
Simple and minimum-cost satisfiability for goal models,"Giorgini, P."
Simple and minimum-cost satisfiability for goal models,"Mylopoulos, J."
Simple and minimum-cost satisfiability for goal models,"Sebastiani, R."
"Techne: Towards a new generation of requirements modeling languages with goals, preferences, and inconsistency handling","Borgida, A."
"Techne: Towards a new generation of requirements modeling languages with goals, preferences, and inconsistency handling","Ernst, N.A."
"Techne: Towards a new generation of requirements modeling languages with goals, preferences, and inconsistency handling","Jureta, I.J."
"Techne: Towards a new generation of requirements modeling languages with goals, preferences, and inconsistency handling","Mylopoulos, J."
A first attempt to combine SysML requirements diagrams and B,"Hammad, A."
A first attempt to combine SysML requirements diagrams and B,"Laleau, R."
A first attempt to combine SysML requirements diagrams and B,"Matoussi, A."
A first attempt to combine SysML requirements diagrams and B,"Petit, D."
A first attempt to combine SysML requirements diagrams and B,"Semmak, F."
A first attempt to combine SysML requirements diagrams and B,"Tatibouet, B."
Adaptive socio-technical systems: A requirements-based approach,"Dalpiaz, F."
Adaptive socio-technical systems: A requirements-based approach,"Giorgini, P."
Adaptive socio-technical systems: A requirements-based approach,"Mylopoulos, J."
Integrating preferences into goal models for requirements engineering,"Liaskos, S."
Integrating preferences into goal models for requirements engineering,"McIlraith, S.A."
Integrating preferences into goal models for requirements engineering,"Mylopoulos, J."
Integrating preferences into goal models for requirements engineering,"Sohrabi, S."
Configuring features with stakeholder goals,"Leite, J.C.S.D.P."
Configuring features with stakeholder goals,"Lapouchnian, A."
Configuring features with stakeholder goals,"Mylopoulos, J."
Configuring features with stakeholder goals,"Yu, Y."
Exploring Web services from a business value perspective,"Gordijn, J."
Exploring Web services from a business value perspective,"Van Der Raadt, B."
Exploring Web services from a business value perspective,"Yu, E.S.K."
Visual variability analysis for goal models,"Leite, J.C.S.D.P."
Visual variability analysis for goal models,"Mylopoulos, J."
Visual variability analysis for goal models,"Gonz•À_lez-Baixauli, B."
Goal-driven risk assessment in requirements engineering,"Asnar, Y."
Goal-driven risk assessment in requirements engineering,"Giorgini, P."
Goal-driven risk assessment in requirements engineering,"Mylopoulos, J."
Towards interoperability of i* models using iStarML,"Cares, C."
Towards interoperability of i* models using iStarML,"Franch, X."
Towards interoperability of i* models using iStarML,"Perini, A."
Towards interoperability of i* models using iStarML,"Susi, A."
Requirements-driven design of autonomic application software,"Lapouchnian, A."
Requirements-driven design of autonomic application software,"Liaskos, S."
Requirements-driven design of autonomic application software,"Mylopoulos, J."
Requirements-driven design of autonomic application software,"Yu, Y."
On goal-based variability acquisition and analysis,"Lapouchnian, A."
On goal-based variability acquisition and analysis,"Liaskos, S."
On goal-based variability acquisition and analysis,"Mylopoulos, J."
On goal-based variability acquisition and analysis,"Yu, E.S.K."
On goal-based variability acquisition and analysis,"Yu, Y."
A comparative analysis of i*-based agent-oriented modeling languages,"Ayala, C.P."
A comparative analysis of i*-based agent-oriented modeling languages,"Cares, C."
A comparative analysis of i*-based agent-oriented modeling languages,"Carvallo, J.P."
A comparative analysis of i*-based agent-oriented modeling languages,"Franch, X."
A comparative analysis of i*-based agent-oriented modeling languages,"Grau, G."
A comparative analysis of i*-based agent-oriented modeling languages,"Haya, M."
A comparative analysis of i*-based agent-oriented modeling languages,"Mayol, E."
A comparative analysis of i*-based agent-oriented modeling languages,"Quer, C."
A comparative analysis of i*-based agent-oriented modeling languages,"Salazar, G."
An NFR pattern approach to dealing with NFRs,"Chung, L."
An NFR pattern approach to dealing with NFRs,"Leite, J.C.S.D.P."
An NFR pattern approach to dealing with NFRs,"Hill, T."
An NFR pattern approach to dealing with NFRs,"Supakkul, S."
An NFR pattern approach to dealing with NFRs,"Tun, T.T."
Strategic reasoning about business models: A conceptual modeling approach,"Samavi, R."
Strategic reasoning about business models: A conceptual modeling approach,"Topaloglou, T."
Strategic reasoning about business models: A conceptual modeling approach,"Yu, E.S.K."
Strategy-oriented alignment in requirements engineering: Linking business strategy to requirements of e-business systems using the SOARE approach,"Aurum, A."
Strategy-oriented alignment in requirements engineering: Linking business strategy to requirements of e-business systems using the SOARE approach,"Bleistein, S.J."
Strategy-oriented alignment in requirements engineering: Linking business strategy to requirements of e-business systems using the SOARE approach,"Cox, K."
Strategy-oriented alignment in requirements engineering: Linking business strategy to requirements of e-business systems using the SOARE approach,"Ray, P.K."
Representing and reasoning about preferences in requirements engineering,"Liaskos, S."
Representing and reasoning about preferences in requirements engineering,"McIlraith, S.A."
Representing and reasoning about preferences in requirements engineering,"Mylopoulos, J."
Representing and reasoning about preferences in requirements engineering,"Sohrabi, S."
Reverse engineering goal models from legacy code,"Leite, J.C.S.D.P."
Reverse engineering goal models from legacy code,"Lapouchnian, A."
Reverse engineering goal models from legacy code,"Liaskos, S."
Reverse engineering goal models from legacy code,"Mylopoulos, J."
Reverse engineering goal models from legacy code,"Wang, Y."
Reverse engineering goal models from legacy code,"Yu, Y."
Management of performance requirements for information systems,"Nixon, B.A."
Analogical reuse of requirements frameworks,"Massonet, P."
Analogical reuse of requirements frameworks,"Van Lamsweerde, A."
Reasoning about alternative requirements options,"Van Lamsweerde, A."
Configuring common personal software: A requirements-driven approach,"Easterbrook, S."
Configuring common personal software: A requirements-driven approach,"Lapouchnian, A."
Configuring common personal software: A requirements-driven approach,"Liaskos, S."
Configuring common personal software: A requirements-driven approach,"Wang, Y."
Configuring common personal software: A requirements-driven approach,"Yu, Y."
Goal-oriented requirements animation,"Massonet, P."
Goal-oriented requirements animation,"Ponsard, C."
Goal-oriented requirements animation,"Van Lamsweerde, A."
Goal-oriented requirements animation,"Van, H.T."
Formal reasoning techniques for goal models,"Giorgini, P."
Formal reasoning techniques for goal models,"Mylopoulos, J."
Formal reasoning techniques for goal models,"Nicchiarelli, E."
Formal reasoning techniques for goal models,"Sebastiani, R."
Modeling business goal for business/it alignment using requirements engineering,"Lai, R."
Modeling business goal for business/it alignment using requirements engineering,"Ullah, A."
Improving the effectiveness of visual representations in requirements engineering: An evaluation of i* visual syntax,"Heymans, P."
Improving the effectiveness of visual representations in requirements engineering: An evaluation of i* visual syntax,"Moody, D.L."
Improving the effectiveness of visual representations in requirements engineering: An evaluation of i* visual syntax,"Matulevi?ius, R."
Compliance analysis based on a goal-oriented requirement language evaluation methodology,"Amyot, D."
Compliance analysis based on a goal-oriented requirement language evaluation methodology,"Ghanavati, S."
Compliance analysis based on a goal-oriented requirement language evaluation methodology,"Peyton, L."
Where do goals come from: The underlying principles of goal-oriented requirements engineering,"Regev, G."
Where do goals come from: The underlying principles of goal-oriented requirements engineering,"Wegmann, A."
COTS-based requirements engineering,"Alves, C."
Towards a unified metamodel for i*,"Alencar, F."
Towards a unified metamodel for i*,"Castro, J."
Towards a unified metamodel for i*,"Lucena, M."
Towards a unified metamodel for i*,"Santos, E."
Towards a unified metamodel for i*,"Silva, C."
Towards a unified metamodel for i*,"Silva, M.J."
Goal-centric traceability: Using virtual plumblines to maintain critical systemic qualities,"Berenbach, B."
Goal-centric traceability: Using virtual plumblines to maintain critical systemic qualities,"Cleland-Huang, J."
Goal-centric traceability: Using virtual plumblines to maintain critical systemic qualities,"Marrero, W."
Goal representation for BDI agent systems,"Braubach, L."
Goal representation for BDI agent systems,"Lamersdorf, W."
Goal representation for BDI agent systems,"Moldt, D."
Goal representation for BDI agent systems,"Pokahr, A."
Deriving tabular event-based specifications from goal-oriented requirements models,"De Landtsheer, R."
Deriving tabular event-based specifications from goal-oriented requirements models,"Letier, E."
Deriving tabular event-based specifications from goal-oriented requirements models,"Van Lamsweerde, A."
A metamodeling approach for requirements specification,"Letelier, P."
A metamodeling approach for requirements specification,"Mocholi, J.A."
A metamodeling approach for requirements specification,"Navarro, E."
A metamodeling approach for requirements specification,"Ramos, I."
Modeling domain variability in requirements engineering with contexts,"Lapouchnian, A."
Modeling domain variability in requirements engineering with contexts,"Mylopoulos, J."
From goals to high-variability software design,"Leite, J.C.S.D.P."
From goals to high-variability software design,"Lapouchnian, A."
From goals to high-variability software design,"Liaskos, S."
From goals to high-variability software design,"Mylopoulos, J."
From goals to high-variability software design,"Yu, Y."
Experiences with goal-oriented modeling of organizational change,"Kavakli, E."
Experiences with goal-oriented modeling of organizational change,"Loucopoulos, P."
An ontology-based semantics for the motivation extension to archimate,"Almeida, J.P.A."
An ontology-based semantics for the motivation extension to archimate,"Azevedo, C.L.B."
An ontology-based semantics for the motivation extension to archimate,"Guizzardi, G."
An ontology-based semantics for the motivation extension to archimate,"Quartel, D."
An ontology-based semantics for the motivation extension to archimate,"Van Sinderen, M.J."
Analyzing goal models: Different approaches and how to choose among them,"Horkoff, J."
Analyzing goal models: Different approaches and how to choose among them,"Yu, E.S.K."
An MDA approach for goal-oriented requirement analysis in Web engineering,"Aguilar, J.A."
An MDA approach for goal-oriented requirement analysis in Web engineering,"Trujillo, J."
An MDA approach for goal-oriented requirement analysis in Web engineering,"Garrig•À_s, I."
An MDA approach for goal-oriented requirement analysis in Web engineering,"Maz•À_n, J.-N."
Adaptive goals for self-adaptive service compositions,"Baresi, L."
Adaptive goals for self-adaptive service compositions,"Pasquale, L."
Early verification and validation of mission critical systems,"Massonet, P."
Early verification and validation of mission critical systems,"Molderez, J.F."
Early verification and validation of mission critical systems,"Ponsard, C."
Early verification and validation of mission critical systems,"Rifaut, A."
Early verification and validation of mission critical systems,"Tran Van, H."
Early verification and validation of mission critical systems,"Van Lamsweerde, A."
Requirements change: Fears dictate the must haves; desires the won't haves,"Hoorn, J.F."
Requirements change: Fears dictate the must haves; desires the won't haves,"Konijn, E.A."
Requirements change: Fears dictate the must haves; desires the won't haves,"van der Veer, G."
Requirements change: Fears dictate the must haves; desires the won't haves,"van Vliet, H."
Understanding business strategies of networked value constellations using goal- and value modeling,"Gordijn, J."
Understanding business strategies of networked value constellations using goal- and value modeling,"Petit, M."
Understanding business strategies of networked value constellations using goal- and value modeling,"Wieringa, R."
Comparison and evaluation of goal-oriented satisfaction analysis techniques,"Horkoff, J."
Comparison and evaluation of goal-oriented satisfaction analysis techniques,"Yu, E.S.K."
Reasoning with contextual requirements: Detecting inconsistency and conflicts,"Ali, R."
Reasoning with contextual requirements: Detecting inconsistency and conflicts,"Dalpiaz, F."
Reasoning with contextual requirements: Detecting inconsistency and conflicts,"Giorgini, P."
Changing attitudes towards the generation of architectural models,"Alencar, F."
Changing attitudes towards the generation of architectural models,"Castro, J."
Changing attitudes towards the generation of architectural models,"Lucena, M."
Changing attitudes towards the generation of architectural models,"Pimentel, J.H."
Changing attitudes towards the generation of architectural models,"Santos, E."
Changing attitudes towards the generation of architectural models,"Silva, C."
Designing IT systems according to environmental settings: A strategic analysis framework,"Li, T."
Designing IT systems according to environmental settings: A strategic analysis framework,"Liu, L."
Designing IT systems according to environmental settings: A strategic analysis framework,"Zhang, H."
From i* requirements models to conceptual models of a Model Driven Development process,"Alencar, F."
From i* requirements models to conceptual models of a Model Driven Development process,"Castro, J."
From i* requirements models to conceptual models of a Model Driven Development process,"Giachetti, G."
From i* requirements models to conceptual models of a Model Driven Development process,"Pastor, O."
From i* requirements models to conceptual models of a Model Driven Development process,"Pimentel, J.H."
From i* requirements models to conceptual models of a Model Driven Development process,"Mar•À_n, B."
Persona-scenario-goal methodology for user-centered requirements engineering,"Aoyama, M."
From object orientation to goal orientation: A paradigm shift for requirements engineering,"Letier, E."
From object orientation to goal orientation: A paradigm shift for requirements engineering,"Van Lamsweerde, A."
Behavioral adaptation of information systems through goal models,"Jungblut, M.D."
Behavioral adaptation of information systems through goal models,"Khan, S.M."
Behavioral adaptation of information systems through goal models,"Liaskos, S."
Behavioral adaptation of information systems through goal models,"Litoiu, M."
Behavioral adaptation of information systems through goal models,"Mylopoulos, J."
Behavioral adaptation of information systems through goal models,"Rogozhkin, V."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Alencar, F."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Castro, J."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Lucena, M."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Pimentel, J.H."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Santos, E."
Deriving software architectural models from requirements models for adaptive systems: The STREAM-A approach,"Silva, C."
Finding incremental solutions for evolving requirements,"Borgida, A."
Finding incremental solutions for evolving requirements,"Ernst, N.A."
Finding incremental solutions for evolving requirements,"Jureta, I."
Improving requirements engineering by quality modelling - A quality-based requirements engineering framework,"Bresciani, P."
Improving requirements engineering by quality modelling - A quality-based requirements engineering framework,"Donzelli, P."
Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop,"Chen, B."
Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop,"Peng, X."
Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop,"Yu, Y."
Self-tuning of software systems through dynamic quality tradeoff and value-based feedback control loop,"Zhao, W."
AoURN-based modeling and analysis of software product lines,"Amyot, D."
AoURN-based modeling and analysis of software product lines,"Moreira, A."
AoURN-based modeling and analysis of software product lines,"Mussbacher, G."
AoURN-based modeling and analysis of software product lines,"Ara•À_jo, J."
Simulating and optimising design decisions in quantitative goal models,"Heaven, W."
Simulating and optimising design decisions in quantitative goal models,"Letier, E."
CSRML: A goal-oriented approach to model requirements for collaborative systems,"Montero, F."
CSRML: A goal-oriented approach to model requirements for collaborative systems,"Navarro, E."
CSRML: A goal-oriented approach to model requirements for collaborative systems,"Teruel, M.A."
CSRML: A goal-oriented approach to model requirements for collaborative systems,"Gonz•À_lez, P."
CSRML: A goal-oriented approach to model requirements for collaborative systems,"L•À_pez-Jaquero, V."
A goal modeling framework for self-contextualizable software,"Ali, R."
A goal modeling framework for self-contextualizable software,"Dalpiaz, F."
A goal modeling framework for self-contextualizable software,"Giorgini, P."
Astrolabe: A collaborative multiperspective goal-oriented risk analysis methodology,"Bagheri, E."
Astrolabe: A collaborative multiperspective goal-oriented risk analysis methodology,"Ghorbani, A.A."
The rationale behind the development of an airline operations control centre using Gaia-based methodology,"Castro, A."
The rationale behind the development of an airline operations control centre using Gaia-based methodology,"Oliveira, E."
GOORE: Goal-oriented and ontology driven requirements elicitation method,"Kaiya, H."
GOORE: Goal-oriented and ontology driven requirements elicitation method,"Saeki, M."
GOORE: Goal-oriented and ontology driven requirements elicitation method,"Shibaoka, M."
Requirements-driven adaptive security: Protecting variable assets at runtime,"Ali, R."
Requirements-driven adaptive security: Protecting variable assets at runtime,"Nuseibeh, B."
Requirements-driven adaptive security: Protecting variable assets at runtime,"Omoronyia, I."
Requirements-driven adaptive security: Protecting variable assets at runtime,"Pasquale, L."
Requirements-driven adaptive security: Protecting variable assets at runtime,"Salehie, M."
Syntactic and semantic extensions to Secure Tropos to support security risk management,"Dubois, E."
Syntactic and semantic extensions to Secure Tropos to support security risk management,"Heymans, P."
Syntactic and semantic extensions to Secure Tropos to support security risk management,"Matulevi_ius, R."
Syntactic and semantic extensions to Secure Tropos to support security risk management,"Mayer, N."
Syntactic and semantic extensions to Secure Tropos to support security risk management,"Mouratidis, H."
Interactive analysis of agent-goal models in enterprise modeling,"Horkoff, J."
Interactive analysis of agent-goal models in enterprise modeling,"Yu, E.S.K."
Enterprise modeling for business intelligence,"Barone, D."
Enterprise modeling for business intelligence,"Jiang, L."
Enterprise modeling for business intelligence,"Mylopoulos, J."
Enterprise modeling for business intelligence,"Won, J."
Enterprise modeling for business intelligence,"Yu, E.S.K."
The goal-oriented design of agent systems: A refinement of Prometheus and its evaluation,"Khallouf, J."
The goal-oriented design of agent systems: A refinement of Prometheus and its evaluation,"Winikoff, M."
Aspect-oriented user requirements notation: Aspects in goal and scenario models,"Mussbacher, G."
Utilizing deontic operators in information systems specification,"Krogstie, J."
Utilizing deontic operators in information systems specification,"Sindre, G."
Aligning security and privacy to support the development of secure information systems,"Gritzalis, S."
Aligning security and privacy to support the development of secure information systems,"Huget, M.-P."
Aligning security and privacy to support the development of secure information systems,"Islam, S."
Aligning security and privacy to support the development of secure information systems,"Kalloniatis, C."
Aligning security and privacy to support the development of secure information systems,"Mouratidis, H."
Model checking goal-oriented requirements for self-adaptive systems,"Abeywickrama, D.B."
Model checking goal-oriented requirements for self-adaptive systems,"Zambonelli, F."
A goal-based approach to guide the design of an abstract event-B specification,"Gervais, F."
A goal-based approach to guide the design of an abstract event-B specification,"Laleau, R."
A goal-based approach to guide the design of an abstract event-B specification,"Matoussi, A."
Goal-driven software product line engineering,"Asadi, M."
Goal-driven software product line engineering,"Bagheri, E."
Goal-driven software product line engineering,"Hatala, M."
Goal-driven software product line engineering,"Mohabbati, B."
Goal-driven software product line engineering,"Ga•À_evi?, D."
Extending the user requirements notation with aspect-oriented concepts,"Amyot, D."
Extending the user requirements notation with aspect-oriented concepts,"Mussbacher, G."
Characterizing maintainability concerns in autonomic element design,"Kienle, H.M."
Characterizing maintainability concerns in autonomic element design,"Lin, L."
Characterizing maintainability concerns in autonomic element design,"Zhu, Q."
Characterizing maintainability concerns in autonomic element design,"M•À_ller, H.A."
Using satisfaction arguments to enhance i* modelling of an air traffic management system,"Bush, D."
Using satisfaction arguments to enhance i* modelling of an air traffic management system,"Jones, S."
Using satisfaction arguments to enhance i* modelling of an air traffic management system,"Lockerbie, J."
Using satisfaction arguments to enhance i* modelling of an air traffic management system,"Maiden, N.A.M."
Using satisfaction arguments to enhance i* modelling of an air traffic management system,"Randall, D."
Towards integrated tool support for the User Requirements Notation,"Amyot, D."
Towards integrated tool support for the User Requirements Notation,"Kealey, J."
Towards integrated tool support for the User Requirements Notation,"Roy, J.-F."
Autonomy requirements engineering,"Hinchey, M."
Autonomy requirements engineering,"Vassev, E."
Research review: Investigating goal-oriented requirements engineering for business processes,"Decreus, K."
Research review: Investigating goal-oriented requirements engineering for business processes,"Poels, G."
Research review: Investigating goal-oriented requirements engineering for business processes,"Roelens, B."
Research review: Investigating goal-oriented requirements engineering for business processes,"Snoeck, M."
On eliciting contribution measures in goal models,"Aranda, J."
On eliciting contribution measures in goal models,"Jalman, R."
On eliciting contribution measures in goal models,"Liaskos, S."
Trust trade-off analysis for security requirements engineering,"Elahi, G."
Trust trade-off analysis for security requirements engineering,"Yu, E.S.K."
Towards a Design Method Supporting the Alignment between Business and Services Software,"Dubois, E."
Towards a Design Method Supporting the Alignment between Business and Services Software,"Grandry, E."
Towards a Design Method Supporting the Alignment between Business and Services Software,"Ramel, S."
Assessing requirements-related risks through probabilistic goals and obstacles,"Cailliau, A."
